,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
433,20 ,"Sweetcorn, baby, fresh, stir-fried in rapeseed oil  ",20.9 ,The Co -operative Loved by Us babycorn  ,The Co -operative Loved by Us  ,125g  ,09.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: M262B P6470/1/3 5000128471152  ,Plastic  ,Chilled  ,Chilled  
435,20 ,"Sweetcorn, baby, fresh, stir-fried in rapeseed oil  ",20.10  ,Morrisons baby corn  ,Morrisons  ,125g  ,16.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,T360/MWW T48399/0614  ,Plastic  ,Chilled  ,Chilled  
437,20 ,"Sweetcorn, baby, fresh, stir-fried in rapeseed oil  ",20.11  ,Exotica baby corn  ,Exotica  ,80g ,12.10.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Lot code: 1 -200-002-74012  ,Plastic  ,Chilled  ,Chilled  
439,21 ,"Celery, raw  ",21.1 ,Tesco British celery sticks  ,Tesco  ,350g  ,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:GS01  ,Plastic  ,Chilled  ,Chilled  
441,21 ,"Celery, raw  ",21.2 ,Tesco celery sticks  ,Tesco  ,350g  ,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:GS02  ,Plastic  ,Chilled  ,Chilled  
443,21 ,"Celery, raw  ",21.3 ,Asda Grower’s Selection British celery hearts  ,Asda Grower’s Selection  ,Purchase Date:  ,26.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:470021 ASP1418547  ,Plastic  ,Chilled  ,Chilled  
445,21 ,"Celery, raw  ",21.4 ,Sainsbury’s celery  ,Sainsbury’s  ,Purchase Date:  ,09.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,G0630F 805353 09.14  ,Plastic  ,Chilled  ,Chilled  
447,21 ,"Celery, raw  ",21.5 ,Morrisons celery  ,Morrisons  ,Purchase Date:  ,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,6999BBT T50853/0415 2725  ,Plastic  ,Chilled  ,Chilled  
449,21 ,"Celery, raw  ",21.6 ,Simply M& S British celery  ,Simply M&S  ,Purchase Date:  ,26.08.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC1816   ,Plastic  ,Chilled  ,Chilled  
451,21 ,"Celery, raw  ",21.7 ,Oaklands British celery  ,Oaklands  ,Purchase Date:  ,26.08.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,W1922 E52257 3501  ,Plastic  ,Chilled  ,Chilled  
453,21 ,"Celery, raw  ",21.8 ,Tesco celery sticks  ,Tesco  ,350g  ,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:GS02  ,Plastic  ,Chilled  ,Chilled  
455,21 ,"Celery, raw  ",21.9 ,The Co -operative Love by Us British celery  ,The Co -operative Love by Us  ,Purchase Date:  ,26.08.15  ,"The Co -operative, Earlham Green Lane, Norwich  ",Best before Date:  ,,Supplied by: M029(L) P12574/1/2  ,Plastic  ,Chilled  ,Chilled  
457,21 ,"Celery, raw  ",21.10  ,G’s celery  ,G’s ,Purchase Date:  ,28.08.15  ,"Independent market stall, Norwich Market  ",Best before Date:  ,,Packaging:  ,Plastic  ,Ambient  ,Chilled  
459,21 ,"Celery, raw  ",21.11  ,G’s celery  ,G’s ,Purchase Date:  ,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic  ,Ambient  ,Chilled  
461,22 ,"Celery, boiled  ",22.1 ,Tesco British celery sticks  ,Tesco  ,350g  ,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:GS01  ,Plastic  ,Chilled  ,Chilled  
463,22 ,"Celery, boiled  ",22.2 ,Tesco celery sticks  ,Tesco  ,350g  ,16.11.15  ,"Tesco Extra , Blue Boar Road, Norwich  ",Best before Date:  ,,SC:GS02  ,Plastic  ,Chilled  ,Chilled  
465,22 ,"Celery, boiled  ",22.3 ,Asda Grower’s Selection British celery hearts  ,Asda Grower’s Selection  ,Purchase Date:  ,26.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:470021 ASP1418547  ,Plastic  ,Chilled  ,Chilled  
467,22 ,"Celery, boiled  ",22.4 ,Sainsbury’s celery  ,Sainsbury’s  ,Purchase Date:  ,09.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,G0630F 805353 09.14  ,Plastic  ,Chilled  ,Chilled  
469,22 ,"Celery, boiled  ",22.5 ,Morrisons celery  ,Morrisons  ,Purchase Date:  ,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,6999BBT T50853/0415 2725  ,Plastic  ,Chilled  ,Chilled  
471,22 ,"Celery, boiled  ",22.6 ,Simply M& S British celery  ,Simply M&S  ,Purchase Date:  ,26.08.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,SC1816   ,Plastic  ,Chilled  ,Chilled  
473,22 ,"Celery, boiled  ",22.7 ,Oaklands British celery  ,Oaklands  ,Purchase Date:  ,26.08.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,W1922 E52257 3501  ,Plastic  ,Chilled  ,Chilled  
475,22 ,"Celery, boiled  ",22.8 ,Tesco celery sticks  ,Tesco  ,350g  ,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Best before Date:  ,,SC:GS02  ,Plastic  ,Chilled  ,Chilled  
477,22 ,"Celery, boiled  ",22.9 ,The Co -operative Love by Us British celery  ,The Co -operative Love by Us  ,Purchase Date:  ,26.08.15  ,"The Co -operative, Earlham Green Lane, Norwich  ",Best before Date:  ,,Supplied by: M029(L) P12574/1/2  ,Plastic  ,Chilled  ,Chilled  
479,22 ,"Celery, boiled  ",22.10  ,G’s celery  ,G’s ,Purchase Date:  ,28.08.15  ,"Independent market stall, Norwich Market  ",Best before Date:  ,,Packaging:  ,Plastic  ,Ambient  ,Chilled  
481,22 ,"Celery, boiled  ",22.11  ,G’s celery  ,G’s ,Purchase Date:  ,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,Packaging:  ,Plastic  ,Ambient  ,Chilled  
483,23 ,"Asparagus, fresh, steamed  ",23.1 ,Tesco asparagus bundle  ,Tesco  ,250g  ,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD02  ,Plastic  ,Chilled  ,Chilled  
485,23 ,"Asparagus, fresh, steamed  ",23.2 ,Tesco asparagus tips  ,Tesco  ,125g  ,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2p  ,Plastic  ,Chilled  ,Chilled  
487,23 ,"Asparagus, fresh, steamed  ",23.3 ,Asda Grower’s Selection asparagus  ,Asda Grower’s Selection  ,250g  ,26.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,550303 ASP1508538  ,Plastic  ,Chilled  ,Chilled  
489,23 ,"Asparagus, fresh, steamed  ",23.4 ,Sainsbury’s fine asparagus  ,Sainsbury’s  ,100g  ,05.07.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B0090L 7689821 03.14  ,Plastic  ,Chilled  ,Chilled  
491,23 ,"Asparagus, fresh, steamed  ",23.5 ,Morrisons asparagus  ,Morrisons  ,250g  ,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,0589/2f 0589 T47641/0514  ,Plastic  ,Chilled  ,Chilled  
495,23 ,"Asparagus, fresh, steamed  ",23.7 ,M&S extra fine asparagus  ,Marks & Spencer  ,110g  ,04.07.15  ,"Marks & Spencer, Rampant Horse Street, Norwich  ",Best before Date:  ,,SC4848J  ,Plastic  ,Chilled  ,Chilled  
497,23 ,"Asparagus, fresh, steamed  ",23.8 ,Aldi Specially Selected asparagus tips  ,Aldi Specially Selected  ,100g  ,26.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,Supplier code: 03107/SFT; lot code:3502(3504C) ,Plastic  ,Chilled  ,Chilled  
499,23 ,"Asparagus, fresh, steamed  ",23.9 ,Tesco asparagus tips  ,Tesco   ,100g  ,28.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:HM2p  ,Plastic  ,Chilled  ,Chilled  
501,23 ,"Asparagus, fresh, steamed  ",23.10  ,Farm Shop asparagus  ,Pack size: ,Purchase Date:  ,05.07.15  ,"Independent Farm Shop, Mulbarton , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,Chilled  
503,23 ,"Asparagus, fresh, steamed  ",23.11  ,Bidvest Foodservice asparagus  ,Bidvest Foodservice  ,Purchase Date:  ,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,PLU 4080  ,Loose  ,Chilled  ,Chilled  
505,24 ,"Asparagus, fresh, grilled  ",24.1 ,Tesco asparagus bundle  ,Tesco  ,250g  ,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD02  ,Plastic  ,Chilled  ,Chilled  
507,24 ,"Asparagus, fresh, grilled  ",24.2 ,Tesco asparagus tips  ,Tesco  ,125g  ,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2p  ,Plastic  ,Chilled  ,Chilled  
509,24 ,"Asparagus, fresh, grilled  ",24.3 ,Asda Grower’s Selection asparagus  ,Asda Grower’s Selection  ,250g  ,26.08.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,550303 ASP1508538  ,Plastic  ,Chilled  ,Chilled  
511,24 ,"Asparagus, fresh, grilled  ",24.4 ,Morrisons asparagus  ,Morrisons  ,250g  ,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,0589/2f 0589 T47641/0514  ,Plastic  ,Chilled  ,Chilled  
513,24 ,"Asparagus, fresh, grilled  ",24.5 ,Aldi Specially Selected asparagus tips  ,Aldi Specially Selected  ,100g  ,26.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,Supplier code: 03107/SFT; lot code:3502(3504C) ,Plastic  ,Chilled  ,Chilled  
515,24 ,"Asparagus, fresh, grilled  ",24.6 ,Tesco asparagus tips  ,Tesco   ,100g  ,28.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:HM2p  ,Plastic  ,Chilled  ,Chilled  
517,24 ,"Asparagus, fresh, grilled  ",24.7 ,Bidvest Foodservice asparagus  ,Bidvest Foodservice  ,Purchase Date:  ,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,PLU4080  ,Loose  ,Chilled  ,Chilled  
519,25 ,"Asparagus, fresh, roasted  in rapeseed oil  ",25.1 ,Tesco asparagus bundle  ,Tesco  ,250g  ,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WD02  ,Plastic  ,Chilled  ,Chilled  
521,25 ,"Asparagus, fresh, roasted in rapeseed oil  ",25.2 ,Tesco asparagus tips  ,Tesco  ,125g  ,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2p  ,Plastic  ,Chilled  ,Chilled  
523,25 ,"Asparagus, fresh, roasted in rapeseed oil  ",25.3 ,Asda Grower’s Selection asparagus  ,Asda Grower’s Selection  ,250g  ,,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,550303 ASP1508538  ,Plastic  ,Chilled  ,Chilled  
525,25 ,"Asparagus, fresh, roasted in rapeseed oil  ",25.4 ,Morrisons asparagus  ,Morrisons  ,250g  ,26.08.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,0589/2f 0589 T47641/0514  ,Plastic  ,Chilled  ,Chilled  
527,25 ,"Asparagus, fresh, roasted in rapeseed oil  ",25.5 ,Aldi Specially Selected asparagus tips  ,Aldi Specially Selected  ,100g  ,26.08.15  ,"Aldi, Larkman Lane, Norwich  ",Best before Date:  ,,Supplier code: 03107/SFT; lot code:3502(3504C) ,Plastic  ,Chilled  ,Chilled  
529,25 ,"Asparagus, fresh, roasted in rapeseed oil  ",25.6 ,Tesco asparagus tips  ,Tesco   ,100g  ,28.08.15  ,"Tesco Express, Westlegate, Norwich  ",Best before Date:  ,,SC:HM2p  ,Plastic  ,Chilled  ,Chilled  
531,25 ,"Asparagus, fresh, roasted in rapeseed oil  ",25.7 ,Bidvest Foodservice asparagus  ,Bidvest Foodservice  ,Purchase Date:  ,24.08.15  ,Bidvest Foodservice delivery  ,Best before Date:  ,,PLU4080  ,Loose  ,Chilled  ,Chilled  
533,26 ,"Mange tout, fresh, boiled  ",26.1 ,Tesco mangetout  ,Tesco  ,215g  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2e  ,Plastic  ,Chilled  ,Chilled  
535,26 ,"Mange tout, fresh, boiled  ",26.2 ,Sainsbury’s mange tout ,Sainsbury’s  ,200g  ,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,P0698D 1039405  ,Plastic  ,Chilled  ,Chilled  
537,26 ,"Mange tout, fresh, boiled  ",26.3 ,Asda Grower’s Selection mangetout  ,Asda Grower’s Selection  ,155g  ,05.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550214 ASP1508372  ,Plastic  ,Chilled  ,Chilled  
539,26 ,"Mange tout, fresh, boiled  ",26.4 ,Sainsbury’s mange tout ,Sainsbury’s  ,200g  ,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,P0698D  1039405 09.14  ,Plastic  ,Chilled  ,Chilled  
541,26 ,"Mange tout, fresh, boiled  ",26.5 ,Morrisons trimmed mangetout  ,Morrisons  ,155g  ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW  ,Plastic  ,Chilled  ,Chilled  
543,26 ,"Mange tout, fresh, boiled  ",26.6 ,Waitrose trimmed mange tout peas  ,Waitrose  ,200g  ,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",22.11.15  ,,Supplier: 343SIS 11.14  ,Plastic  ,Chilled  ,Chilled  
545,26 ,"Mange tout, fresh, boiled  ",26.7 ,Oaklands fresh mangetout  ,Oaklands  ,150g  ,05.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,GB005 –W4062 L4006 14:34  ,Plastic  ,Chilled  ,Chilled  
547,26 ,"Mange tout, fresh, boiled  ",26.8 ,Asda Grower’s Selection mangetout  ,Asda Grower’s Selection  ,155g  ,16.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550527 ASP1508372  ,Plastic  ,Chilled  ,Chilled  
549,26 ,"Mange tout, fresh, boiled  ",26.9 ,The Co -operative Loved by Us trimmed mangetout  ,The Co -operative Loved by Us  ,120g  ,30.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: M262A  ,Plastic  ,Chilled  ,Chilled  
551,26 ,"Mange tout, fresh, boiled  ",26.10  ,Morrisons trimmed mangetout  ,Morrisons  ,155g  ,16.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW T47579/0514  ,Plastic  ,Chilled  ,Chilled  
553,26 ,"Mange tout, fresh, boiled  ",26.11  ,Farm Fresh mangetout  ,Farm Fresh  ,300g  ,05.10.15  ,"Booker, Norwich  ",Best before Date:  ,,2703 TEX 285  ,Plastic  ,Chilled  ,Chilled  
555,27 ,"Mange tout, fresh, stir -fried in rapeseed oil  ",27.1 ,Tesco mangetout  ,Tesco  ,215g  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:HM2e  ,Plastic  ,Chilled  ,Chilled  
557,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.2 ,Sainsbury’s mange tout ,Sainsbury’s  ,200g  ,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,P0698D 1039405  ,Plastic  ,Chilled  ,Chilled  
559,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.3 ,Asda Grower’s Selection mangetout  ,Asda Grower’s Selection  ,155g  ,05.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550214 ASP1508372  ,Plastic  ,Chilled  ,Chilled  
561,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.4 ,Sainsbury’s mange tout ,Sainsbury’s  ,200g  ,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,P0698D  1039405 09.14  ,Plastic  ,Chilled  ,Chilled  
563,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.5 ,Morrisons trimmed mangetout  ,Morrisons  ,155g  ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW  ,Plastic  ,Chilled  ,Chilled  
565,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.6 ,Waitrose trimmed mange tout peas  ,Waitrose  ,200g  ,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",22.11.15  ,,Supplier: 343SIS 11.14  ,Plastic  ,Chilled  ,Chilled  
567,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.7 ,Oaklands fresh mangetout  ,Oaklands  ,150g  ,,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,GB005 –W4062 L4006 14:34  ,Plastic  ,Chilled  ,Chilled  
569,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.8 ,Asda Grower’s Selection mangetout  ,Asda Grower’s Selection  ,155g  ,16.11.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site: 550527 ASP1508372  ,Plastic  ,Chilled  ,Chilled  
571,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.9 ,The Co -operative Loved by Us trimmed mangetout  ,The Co -operative Loved by Us  ,120g  ,30.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: M262A  ,Plastic  ,Chilled  ,Chilled  
573,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.10  ,Morrisons trimmed mangetout  ,Morrisons  ,155g  ,16.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW T47579/0514  ,Plastic  ,Chilled  ,Chilled  
575,27 ,"Mange tout, fresh, stir-fried in rapeseed oil  ",27.11  ,Farm Fresh mangetout  ,Farm Fresh  ,300g  ,05.10.15  ,"Booker, Norwich  ",Best before Date:  ,,2703 TEX 285  ,Plastic  ,Chilled  ,Chilled  
577,28 ,"Butternut squash, boiled flesh only  ",28.1 ,Tesco roasting butternut squash  ,Tesco  ,Purchase Date:  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:AGS01  ,Loose  ,Ambient  ,21ºC controlled temperature room  
579,28 ,"Butternut squash, boiled flesh only  ",28.2 ,Tesco butternut squash  ,Tesco  ,Purchase Date:  ,27.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
581,28 ,"Butternut squash, boiled flesh only  ",28.3 ,Asda Grower’s Selection butternut squash  ,Asda Grower’s Selection  ,Purchase Date:  ,05.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:909750 PO:442534 258 PLU643 ASP1510543  ,Loose  ,Ambient  ,21ºC controlled temperature room  
583,28 ,"Butternut squash, boiled flesh only  ",28.4 ,Sainsbury’s butternut squash  ,Sainsbury’s  ,Purchase Date:  ,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B0090 B 009 6156 14 31 273  ,Loose  ,Ambient  ,21ºC controlled temperature room  
585,28 ,"Butternut squash, boiled flesh only  ",28.5 ,Morrisons butternut squash  ,Morrisons  ,Purchase Date:  ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW  ,Loose  ,Ambient  ,21ºC controlled temperature room  
587,28 ,"Butternut squash, boiled flesh only  ",28.6 ,Essential Waitrose butternut squash  ,Essential Waitrose   ,Purchase Date:  ,16.01.16  ,"Waitrose, Wymondham , Norfolk  ",31.01.16  ,,1687 Supplier: 111AGT 09:14  ,Loose  ,Ambient  ,21°C controlled temperature room  
589,28 ,"Butternut squash, boiled flesh only  ",28.7 ,Lidl butternut squash  ,Lidl ,Purchase Date:  ,05.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
591,28 ,"Butternut squash, boiled flesh only  ",28.8 ,Sainsbury’s ready prepared butternut squash  ,Sainsbury’s  ,320g  ,26.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Use By Date:  ,,B0090 B UP1 5 07:09 7355010  01.15  ,Plastic  ,Chilled  ,Chilled  
593,28 ,"Butternut squash, boiled flesh only  ",28.9 ,The Co -operative butternut squash  ,The Co -operative  ,Purchase Date:  ,05.01.16  ,"The Co -operative, Wymondham , Norfolk  ",Best before Date:  ,,M244 P8635/1/2  ,Loose  ,Ambient  ,21ºC controlled temperature room  
595,28 ,"Butternut squash, boiled flesh only  ",28.10  ,Market butternut squash  ,Pack size:  ,Purchase Date:  ,08.10.15  ,,Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
597,28 ,"Butternut squash, boiled flesh only  ",28.11  ,Farm Fresh butternut squash  ,Farm Fresh  ,x2 ,05.10.15  ,"Booker, Norwich  ",Best before Date:  ,,257 A22511  ,Plastic  ,Chilled  ,Chilled  
599,29 ,"Butternut squash, baked, flesh only  ",29.1 ,Tesco roasting butternut squash  ,Tesco  ,Purchase Date:  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:AGS01  ,Loose  ,Ambient  ,21ºC controlled temperature room  
601,29 ,"Butternut squash, baked, flesh only  ",29.2 ,Tesco butternut squash  ,Tesco  ,Purchase Date:  ,27.01.16  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
603,29 ,"Butternut squash, baked, flesh only  ",29.3 ,Asda Grower’s Selection butternut squash  ,Asda Grower’s Selection  ,Purchase Date:  ,05.10.15  ,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:909750 PO:442534 258 PLU643 ASP1510543  ,Loose  ,Ambient  ,21ºC controlled temperature room  
605,29 ,"Butternut squash, baked, flesh only  ",29.4 ,Sainsbury’s butternut squash  ,Sainsbury’s  ,Purchase Date:  ,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,B0090 B 009 6156  ,Loose  ,Ambient  ,21ºC controlled temperature room  
607,29 ,"Butternut squash, baked, flesh only  ",29.5 ,Morrisons butternut squash  ,Morrisons  ,Purchase Date:  ,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1360/MWW  ,Loose  ,Ambient  ,21ºC controlled temperature room  
609,29 ,"Butternut squash, baked, flesh only  ",29.6 ,Essential Waitrose butternut squash  ,Essential Waitrose   ,Purchase Date:  ,16.01.16  ,"Waitrose, Wymondham , Norfolk  ",31.01.16  ,,1687 Supplier: 111AGT 09:14  ,Loose  ,Ambient  ,21°C controlled temperature room  
611,29 ,"Butternut squash, baked, flesh only  ",29.7 ,Lidl butternut squash  ,Lidl ,Purchase Date:  ,05.10.15  ,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
613,29 ,"Butternut squash, baked, flesh only  ",29.8 ,Sainsbury’s ready prepared butternut squash  ,Sainsbury’s  ,320g  ,26.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Use By Date:  ,,B0090 B UP1 5 07:09 7355010  01.15  ,Plastic  ,Chilled  ,Chilled  
615,29 ,"Butternut squash, baked, flesh only  ",29.9 ,The Co -operative butternut squash  ,The Co -operative  ,Purchase Date:  ,05.01.16  ,"The Co -operative, Wymondham , Norfolk  ",Best before Date:  ,,M244 P8635/1/2  ,Loose  ,Ambient  ,21ºC controlled temperature room  
617,29 ,"Butternut squash, baked, flesh only  ",29.10  ,Market butternut squash  ,Pack size:  ,Purchase Date:  ,08.10.15  ,,Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
619,29 ,"Butternut squash, baked, flesh only  ",29.11  ,Farm Fresh butternut squash  ,Farm Fresh  ,x2 ,05.10.15  ,"Booker, Norwich  ",Best before Date:  ,,257 A22511  ,Plastic  ,Chilled  ,Chilled  
621,30 ,"Avocado pear, raw, flesh only  ",30.1 ,Tesco ripen at home avocados  ,Tesco  ,4 fruit  ,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WES02  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
623,30 ,"Avocado pear, raw, flesh only  ",30.2 ,Tesco large avocado  ,Tesco  ,Purchase Date:  ,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Best before Date:  ,,SC:WES02  ,Sample Condition As Purchased:  ,Chilled  ,Chilled  
625,30 ,"Avocado pear, raw, flesh only  ",30.3 ,Asda Grower’s Selection ripe and ready avocado  ,Asda Grower’s Selection  ,2 fruit  ,,"Asda, Boundary Road, Norwich  ",Best before Date:  ,,Site:253446 X2 ASP1418697  ,Plastic  ,Chilled  ,Chilled  
627,30 ,"Avocado pear, raw, flesh only  ",30.4 ,Sainsbury’s extra large avocado  ,Sainsbury’s  ,Purchase Date:  ,05.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Best before Date:  ,,G1036 7678882 07.15  ,Loose  ,Ambient  ,Chilled  
629,30 ,"Avocado pear, raw, flesh only  ",30.5 ,Morrisons avocados  ,Morrisons  ,600g  ,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1230/UUK 2725 T59013/0915 LA53705700  ,Plastic  ,Ambient  ,21ºC controlled temperature room  
631,30 ,"Avocado pear, raw, flesh only  ",30.6 ,M&S Hass avocado  ,Marks & Spencer  ,Purchase Date:  ,05.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Best before Date:  ,,1826  ,Plastic; paper tray  ,Ambient  ,Chilled  
633,30 ,"Avocado pear, raw, flesh only  ",30.7 ,Lidl avocado  ,Lidl ,Purchase  Date:  ,,"Lidl, Drayton Road, Norwich  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
635,30 ,"Avocado pear, raw, flesh only  ",30.8 ,Morrisons ready to eat avocados  ,Morrisons  ,Count 2  ,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Best before Date:  ,,1230 T47609/0514  ,Plastic  ,Chilled  ,Chilled  
637,30 ,"Avocado pear, raw, flesh only  ",30.9 ,The Co -operative Loved by Us 2 Avocados  ,The Co -operative Loved by Us  ,Purchase Date:  ,07.12.15  ,"The Co -operative, Long Stratton , Norfolk  ",Best before Date:  ,,Supplied by: M199 P14741/1/1  ,Plastic  ,Chilled  ,Chilled  
639,30 ,"Avocado pear, raw, flesh only  ",30.10  ,Farm Shop avocado  ,Pack size:  ,Purchase Date:  ,05.10.15  ,"Independent Farm Shop, Hethersett , Norfolk  ",Best before Date:  ,,Packaging:  ,Loose  ,Ambient  ,21ºC controlled temperature room  
