Food Code,Food Name,Description,Group,Previous,Main data references,Footnote,Energy (kJ),Energy (kcal),Fat (g),Saturates (g),Carbohydrate (g),Sugars (g),Starch (g),Fibre (g),Protein (g),Salt (g),Food_Category,Super_Category,FPS_Weight,FVS_Weight,Standardized_Weight
16-092,"Monkfish, flesh only, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,281,66,0.4,0.1,0,0,0,0,15.7,0.05,Fish and fish products,Animal-based foods,,,
11-912,"Mooli paratha, homemade","5 samples, radish filled flatbread",AF,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,748,177,2.3,0.41,30.9,1.8,29.1,4.8,5.9,0.99,Uncategorized,Other,,,
19-609,"Moussaka, homemade",Recipe,MR,19-412 ,Updated 2014,,517,124,8.0,3.39,4,2.6,1.4,1,8.5,0.18,Uncategorized,Other,,,
19-507,"Moussaka, retail, reheated","8 samples, 4 brands of beef and lamb. 20-23% meat, chilled/frozen/longlife",MR,19-248 ,"LGC, Nutritional analysis of meat and poultry products, 1994-1995; and industry data, 2013",,599,144,8.3,2.9,8,2,5.9,1.9,8.3,0.7,Uncategorized,Other,,,
15-734,"Moussaka, vegetable, homemade",Recipe,DR,15-542 ,Updated 2014,,539,129,8.6,2.4,7.9,2.4,5.5,1.2,4.5,0.17,Vegetables,Plant-based foods,,,
15-652,"Moussaka, vegetable, retail","7 samples, 3 brands; cooked in conventional and microwave ovens according to packet directions",DR,15-206 ,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",,N,N,4.9,N,7.6,4.4,3.2,N,5.9,0.53,Vegetables,Plant-based foods,,,
12-401,"Mousse, chocolate, low fat","7 samples, 4 brands",BR,12-914 ,"Reviewed 2013. Campden and Chorleywood FRA, Nutrient analysis of yoghurts, fromage frais and chilled desserts, 1998",,N,N,3.7,2.54,17.3,15.3,2,N,5.4,0.17,Oils and fats,Other,,,
12-402,"Mousse, fruit","8 samples, assorted flavours, fresh",BR,50-286 12-246 ,"Reviewed 2013. Milk Products and Eggs Supplement, 1989; fats and vitamin E from Milk Marketing Board, 1992 'Fat, Fatty acids and vitamin E content of a selection of biscuits, cakes and desserts'.",,N,N,6.4,4.11,17.4,17.4,0,N,4.4,0.16,Fruit,Plant-based foods,,,
11-781,"Muesli, Swiss style, no added sugar or salt, unfortified","6 samples, 5 products, including Jordans Natural Muesli and own brands",AI,11-495 ,"LGC, Nutrient survey of breakfast cereals, 2004",,1575,373,5.9,1.19,65.3,12.8,52.5,8.5,10.5,0.17,Sugars and confectionery,Processed foods,,,
11-780,"Muesli, Swiss style, unfortified","11 samples, 9 products, including Alpen and own brand",AI,11-494 11-369 ,"LGC, Nutrient survey of breakfast cereals, 2004",,1617,383,6.3,1.27,67.4,20.8,46.6,8.8,9.9,0.35,Uncategorized,Other,,,
11-1094,"Muffins, American style, chocolate chip, homemade",Recipe,AN,11-608 ,Based on generic recpe'.  Updated 2014,,1617,386,17.5,10.37,49.9,26.9,23,1.3,6.6,0.66,Snack foods,Processed foods,,,
11-737,"Muffins, American, chocolate, retail","10 samples, 9 products",AN,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,1839,440,25.4,4.83,46.4,29.5,16.7,1,6.1,0.99,Uncategorized,Other,,,
11-738,"Muffins, American, not chocolate, retail","10 samples, 10 products, including blueberry, cherry, toffee",AN,,"Direct Laboratories, Nutrient analysis catch up project, 2003",,1591,380,19.5,2.4,44.8,26.6,18,1.8,5.4,0.63,Uncategorized,Other,,,
11-1095,"Muffins, bran, homemade",Recipe,AP,11-667 ,Updated 2014,,1175,280,7.0,3.5,41.1,16.4,24.7,9.2,8.4,0.88,Uncategorized,Other,,,
11-541,"Muffins, English style, white",10 samples,AP,11-260 ,"LGC, Nutrient analysis of bread and morning goods, 1999",,969,229,1.9,0.38,40.4,3.3,37.1,2.6,11.3,1.08,Uncategorized,Other,,,
11-542,"Muffins, English style, white, toasted",Calculated using a weight loss of 12.6%,AP,11-260 ,"LGC, Nutrient analysis of bread and morning goods, 1999",,1128,267,2.7,0.43,46.6,3.6,43,3,12.5,1.23,Uncategorized,Other,,,
14-168,"Mulberries, whole fruit, raw",Whole fruit,FA,,"MW4, 1978. Values revised for Fruit and Nuts Supplement, 1992",,170,40,0.0,0,8.1,8.1,0,0,1.3,0.01,Fruit,Plant-based foods,,,
14-169,"Mulberries, whole fruit, stewed with sugar","Calculated from 700g fruit, 210g water, 84g sugar",FA,,"Fruit and Nuts Supplement, 1992",,287,68,0.0,0,15.9,15.9,0,0,1.0,0,Fruit,Plant-based foods,,,
14-170,"Mulberries, whole fruit, stewed without sugar","Calculated from 700g fruit, 210g water",FA,,"Fruit and Nuts Supplement, 1992",,138,33,0.0,0,7,7,0,0,1.1,0,Fruit,Plant-based foods,,,
16-096,"Mullet, Grey, flesh only, grilled","Calculated from raw, whole fish with guts removed",JA,,"Fish and Fish Products Supplement, 1993",,630,150,5.2,1.4,0,0,0,0,25.8,0.21,Uncategorized,Other,,,
16-095,"Mullet, Grey, flesh only, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,485,115,4.0,1.1,0,0,0,0,19.8,0.16,Uncategorized,Other,,,
16-097,"Mullet, Grey, grilled, weighed with bones and skin",Calculated from grilled 16-096,JA,,"Fish and Fish Products Supplement, 1993",,348,83,2.9,0.8,0,0,0,0,14.2,0.12,Uncategorized,Other,,,
16-099,"Mullet, Red, flesh only, grilled","6 samples, grilled for 7 minutes, whole fish with guts removed",JA,,"LGC, Analytical survey of fish and fish products, 1991-1992",,509,121,4.4,1.2,0,0,0,0,20.4,0.28,Uncategorized,Other,,,
16-100,"Mullet, Red, flesh only, grilled, weighed with bones and skin",Calculated from grilled 16 - 099,JA,,"LGC, Analytical survey of fish and fish products, 1991-1992",,240,57,2.1,0.56,0,0,0,0,9.6,0.13,Uncategorized,Other,,,
16-098,"Mullet, Red, flesh only, raw","6 samples, purchased whole",JA,,"LGC, Analytical survey of fish and fish products, 1991-1992",,458,109,3.8,1.1,0,0,0,0,18.7,0.23,Uncategorized,Other,,,
17-416,"Mushroom, dried",Calculated from raw mushroom,DI,,"Miscellaneous Foods Supplement, 1994",,777,186,6.0,1.2,4.6,3.5,1.1,13.3,21.8,0.15,Uncategorized,Other,,,
13-288,"Mushrooms, Chinese, dried, raw",Literature sources,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",,1404,333,1.8,0.36,57.5,43.8,13.7,13.3,13.3,0.1,Uncategorized,Other,,,
13-289,"Mushrooms, Jew's ear, tender, dried, raw",Literature sources;,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",,1306,309,1.0,0.2,59.9,45.6,14.3,13.3,6.9,0.16,Uncategorized,Other,,,
13-290,"Mushrooms, Jew's ear, tender, dried, soaked, raw",Literature sources;,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",,164,39,0.7,0.14,5.5,4.2,1.3,0.7,0.7,0,Uncategorized,Other,,,
13-291,"Mushrooms, Jew's ear, tough, dried, raw",Literature sources:,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",,1410,334,2.0,0.4,65.9,50.1,15.8,13.3,4.8,0.33,Uncategorized,Other,,,
13-292,"Mushrooms, Jew's ear, tough, dried, soaked, raw",Literature sources:,DG,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",,304,72,0.2,0.04,14.4,11,3.4,0.7,1.1,0.09,Uncategorized,Other,,,
13-293,"Mushrooms, oyster, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,70,17,0.2,0,0,0,0,2.3,1.0,0.19,Uncategorized,Other,5.0,,5.0
13-295,"Mushrooms, shiitake, cooked",Literature sources:,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agriculture Handbook No 8-2",,293,69,0.2,0.1,11.4,2.4,9,2.5,2.6,0.01,Uncategorized,Other,,,
13-294,"Mushrooms, shiitake, dried, raw",Literature sources:,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agriculture Handbook No 8-2",,1555,367,1.0,0.2,69.9,14.7,55.2,3.3,16.3,0.03,Uncategorized,Other,,,
13-546,"Mushrooms, white, fried in corn oil",Calculated from 13-505 and 17-033,DG,50-787 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,473,115,11.0,1.6,0.4,0.4,0,1,1.4,0.02,Oils and fats,Other,,,
13-507,"Mushrooms, white, fried in rapeseed oil","Calculated from raw, cooked for 6.5-10 minutes. Water and fat analysed, 2011",DG,50-785 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,509,123,11.0,0.75,0.4,0.4,0,1,3.5,0.02,Nuts and seeds,Plant-based foods,,,
13-545,"Mushrooms, white, fried in salted butter",Calculated from 13-507 and 13-416,DG,13-416 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,510,124,11.0,7.36,0.5,0.5,0,1,3.5,0.38,Uncategorized,Other,,,
13-505,"Mushrooms, white, raw","11 samples, closed cap and button, UK grown and imported, pre-packed and loose",DG,13-284 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,88,21,0.2,0.04,0.3,0.3,0,0.7,2.5,0.01,Uncategorized,Other,,,
13-506,"Mushrooms, white, stewed in unsalted water","As raw, stewed for 5-10 minutes",DG,13-285 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,122,29,0.3,0.08,0.1,0,0.1,2.6,3.6,0.01,Non-alcoholic beverages,Beverages,,,
16-411,"Mussels in white wine sauce, cooked","6 samples, 6 products, frozen and chilled",JM,,"DH, Nutrient analysis of fish and fish products, 2013",,347,83,3.2,1.26,3.4,0.8,2.6,0,9.7,1.52,Uncategorized,Other,,,
16-390,"Mussels, purchased cooked","7 samples, 6 products, frozen and chilled",JM,16-256 ,"DH, Nutrient analysis of fish and fish products, 2013",,382,91,2.2,0.34,0,0,0,0,17.7,1,Uncategorized,Other,,,
16-497,"Mussels, raw",Purchased alive,JM,16-255 ,"Fish and Fish Products Supplement, 1993; Fe and K calculated from (16-390)",,272,64,1.8,0.4,0,0,0,0,12.1,0.73,Uncategorized,Other,7.0,,7.0
13-297,"Mustard and cress, raw",Leaves and cut stems,DG,50-788 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987; Vitamin K1 from Bolton-Smith et al Br.J.Nutr. 83, 2000",,69,17,0.6,0,0.4,0.4,0,1.6,1.6,0.05,Uncategorized,Other,5.0,,5.0
13-299,"Mustard leaves, boiled in unsalted water",Literature sources,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agriculture Handbook No 8-2, and Wu Leung et al. (1972) Food composition table for use in East Asia.",,91,22,0.2,0,1.8,0.5,1.3,2.4,2.0,0.04,Oils and fats,Other,,,
13-298,"Mustard leaves, raw",Literature sources;,DG,,"Haytowitz and Matthews (1984) Composition of foods: vegetables and vegetable products, raw, processed and prepared, Agriculture Handbook No 8-2, and Wu Leung et al. (1972) Food composition table for use in East Asia.",,141,34,0.3,0,3.2,0.7,2.5,3.9,2.6,0.06,Uncategorized,Other,,,
17-362,Mustard powder,2 brands,WY,50-843 13-866 13-838 ,"Reviewed 2013. Miscellaneous Foods, 1994 and Vegetables, Herbs and Spices Supplement, 1991 (13-838). Fatty acid data from FA 13-866 not integrated because total fat content and fatty acid fractions are very different to this sample.",,2027,488,28.7,1.5,19.4,6.9,12.5,18.1,28.9,0.01,Uncategorized,Other,,,
13-839,Mustard seeds,Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,2116,508,28.8,1.5,27.2,6.8,20.4,12.2,28.9,0.01,Nuts and seeds,Plant-based foods,8.0,,8.0
17-363,"Mustard, powder, made up",Made up with an equal volume of water,WY,,"Miscellaneous Foods Supplement, 1994",,992,238,14.4,0.8,9.7,3.4,6.3,6.1,14.4,0.01,Uncategorized,Other,,,
17-364,"Mustard, smooth","10 samples, 7 types including English and French",WY,50-1180 ,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,599,144,8.2,0.5,9.5,7.7,1.7,1.7,7.1,7.38,Uncategorized,Other,,,
17-365,"Mustard, wholegrain","9 samples, 5 brands",WY,50-1181 ,"Reviewed 2013. LFRA, Nutrient analysis of miscellaneous foods, 1992",,627,151,10.2,0.6,4.2,3.9,0.3,4.9,8.2,4.05,Uncategorized,Other,,,
14-380,"Nectarines, flesh and skin, raw","11 samples, imported",FA,14-297,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,210,50,0.3,0.02,9.5,9.5,0,1.3,0.9,0,Uncategorized,Other,,,
14-381,"Nectarines, flesh and skin, raw, weighed with stones",Calculated from 14-380,FA,14-310,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,194,46,0.3,0.02,8.8,8.8,0,1.2,0.9,0,Uncategorized,Other,,,
11-719,"Noodles, egg, dried, raw","10 samples, 6 products. Fine, medium and thick noodles",AD,11-055 ,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,1466,346,2.0,0.31,66.1,1.6,64.5,5.5,13.2,1.25,Uncategorized,Other,,,
11-941,"Noodles, egg, fine, dried, boiled in unsalted water",Calculated from medium cooked noodles,AD,,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,560,132,0.8,0.12,25,0,25,2.3,5.1,0.27,Oils and fats,Other,,,
11-1096,"Noodles, egg, fried with spring onions, homemade",Recipe,AD,11-626 ,Updated 2014,,1041,249,12.2,0.88,27.8,0.2,27.6,2.7,5.6,0.3,Uncategorized,Other,,,
11-724,"Noodles, egg, medium, dried, boiled in unsalted water","6 samples, 2 products",AD,11-056 ,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,721,170,1.0,0.15,32.5,0,32.5,3,6.4,0.35,Oils and fats,Other,,,
11-942,"Noodles, egg, thick, dried, boiled in unsalted water",Calculated from medium cooked noodles,AD,,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,622,147,0.9,0.13,27.9,0,27.9,2.6,5.5,0.3,Oils and fats,Other,,,
11-725,"Noodles, rice, fine, dried, boiled in unsalted water","8 samples, 3 products",AD,,"LGC, Nutrient analysis of pasta and pasta sauces, 2004",,380,90,0.2,0.05,19.4,0,19.4,1.1,2.1,0.01,Oils and fats,Other,,,
17-814,"Nougat, homemade",Recipe,SEC,17-592 ,Updated 2014,,1783,423,10.2,1.61,76.5,76.1,0.4,1.1,5.7,0.29,Uncategorized,Other,114.0,,114.0
15-216,"Nut and rice roast, mixed nuts with egg, homemade",Recipe from review of recipe collection. Mixed nuts,DR,,As Vegetable Dishes Supplement 1992,,1436,345,21.9,3.5,21.5,2.6,18.6,3.5,13.6,1.05,Nuts and seeds,Plant-based foods,,,
15-215,"Nut and rice roast, mixed nuts, homemade",Recipe from review of recipe collection. Mixed nuts,DR,,As Vegetable Dishes Supplement 1992,,1489,357,22.6,3.5,23.1,2.8,20,3.7,13.6,1.1,Nuts and seeds,Plant-based foods,,,
15-218,"Nut and seed roast, mixed nuts and sunflower seeds with egg, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992.,,1446,348,23.9,3.4,16.5,2.6,13.5,3.9,14.7,0.75,Nuts and seeds,Plant-based foods,,,
15-217,"Nut and seed roast, mixed nuts and sunflower seeds, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1510,363,24.9,3.4,18,2.8,14.7,4.2,14.7,0.78,Nuts and seeds,Plant-based foods,,,
15-220,"Nut and vegetable roast, mixed nuts with egg, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1314,316,21.2,3.3,16.8,3.5,13,3.6,12.7,0.73,Vegetables,Plant-based foods,,,
15-219,"Nut and vegetable roast, mixed nuts, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1363,328,21.9,3.2,18.1,3.7,14,3.9,12.6,0.75,Vegetables,Plant-based foods,,,
15-208,"Nut croquettes, fried in sunflower oil, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1514,364,26.2,3.6,19.7,2.4,16.9,3.4,10.8,0.55,Nuts and seeds,Plant-based foods,,,
15-209,"Nut croquettes, fried in vegetable oil, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1514,364,26.2,3.4,19.7,2.4,16.9,3.4,10.8,0.55,Vegetables,Plant-based foods,,,
15-210,"Nut cutlets, retail, fried in sunflower oil",Recipe from manufacturer,DR,,As Vegetable Dishes Supplement 1992,,1223,295,22.3,2.5,17,1.2,15.7,1.7,5.6,0.53,Nuts and seeds,Plant-based foods,,,
15-211,"Nut cutlets, retail, fried in vegetable oil",Recipe from manufacturer,DR,,As Vegetable Dishes Supplement 1992,,1223,295,22.3,2.4,17,1.2,15.7,1.7,5.6,0.53,Vegetables,Plant-based foods,,,
15-212,"Nut cutlets, retail, grilled",Recipe from manufacturer,DR,,As Vegetable Dishes Supplement 1992,,905,217,13.0,1.4,18.1,1.3,16.7,1.8,6.0,0.55,Nuts and seeds,Plant-based foods,,,
15-643,"Nut roast, homemade",Recipe from review of recipe collection.,DR,15-374 ,Updated 2013,,1452,349,23.5,3.63,17.3,3.9,13.1,4,15.1,0.39,Nuts and seeds,Plant-based foods,,,
15-214,"Nut roast, mixed nuts with egg, homemade",Recipe from review of recipe collection.,DR,,As Vegetable Dishes Supplement 1992,,1465,353,24.7,3.9,15.5,2.9,12.3,3.9,15.1,0.83,Nuts and seeds,Plant-based foods,,,
15-221,"Nut, mushroom and rice roast, homemade",Recipe adapted from a recipe from Leeds Polytechnic,DR,,As Vegetable Dishes Supplement 1992,,1116,267,15.3,2.2,22.2,2.6,19.3,2.7,8.9,0.73,Nuts and seeds,Plant-based foods,,,
13-877,"Nutmeg, ground",Literature sources,H,13-840 ,"USDA SR26, 2013",,2133,515,36.3,25.9,29.8,28.5,1.3,20.8,6.9,0.04,Nuts and seeds,Plant-based foods,,,
14-880,"Nuts, mixed","Calculated as plain peanuts 68%, almonds 17%, cashews 8% and hazelnuts 7%",GA,14-827 50-985 ,Updated 2014,,2531,611,49.1,7.72,10.8,5.3,5.5,8.5,27.3,0.01,Nuts and seeds,Plant-based foods,,,
11-1100,"Oatcakes, homemade",Recipe,AM,11-639 ,Updated 2014,,1765,421,15.9,6.76,55.8,0.4,55.5,6.8,10.2,0.44,Uncategorized,Other,13.0,,13.0
11-823,"Oatcakes, plain, retail","10 samples, 7 products, Nairns and own label",AM,11-518 ,"DH, Nutrient analysis of biscuits, buns, cakes and pastries, 2011",,1958,468,20.0,5.67,57.2,3,54.2,9.4,10.0,1.99,Uncategorized,Other,,,
16-259,"Octopus, raw",Literature sources,JM,,"Fish and Fish Products Supplement, 1993",,352,83,1.3,0.3,0,0,0,0,17.9,0.58,Uncategorized,Other,,,
17-031,"Oil, coconut",Mean of 35 samples,OC,50-320  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acid Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,86.5,0,0,0,0,0.0,0,Nuts and seeds,Plant-based foods,25.0,,25.0
17-488,"Oil, cod liver",Mean of 20 samples,OC,17-032 50-321  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,21.1,0,0,0,0,0.0,0,Oils and fats,Other,,,
17-033,"Oil, corn",Mean of 42 samples,OC,50-322 17-419 ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,14.4,0,0,0,0,0.0,0,Oils and fats,Other,,,
17-034,"Oil, cottonseed",Mean of 55 samples,OC,50-323  ,"Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,3663,891,99.0,26.1,0,0,0,0,0.0,0,Nuts and seeds,Plant-based foods,,,
17-035,"Oil, evening primrose",Mean of 35 samples,OC,17-420 ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994. Additional individual fatty acid data is available in 17-420 (1998) but is from a different sample with a slightly different fatty acid profile.",,3696,899,99.9,7.8,0,0,0,0,0.0,0,Oils and fats,Other,,,
17-036,"Oil, grapeseed",Mean of 23 samples,OC,17-436 ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994. Additional individual fatty acid data is available in 17-436 from the Fatty Acid Supplement (1998) but is from a different sample with a slightly different fatty acid profile.",,3696,899,99.9,11.1,0,0,0,0,0.0,0,Nuts and seeds,Plant-based foods,,,
17-037,"Oil, hazelnut",Mean of 10 samples,OC,17-437 ,"As Miscellaneous Foods Supplement, 1994; and Fatty Acid Supplement, 1998",,3696,899,99.9,7.8,0,0,0,0,0.0,0,Nuts and seeds,Plant-based foods,,,
17-038,"Oil, olive",Mean of 35 samples; including virgin and extra virgin olive oil,OC,50-324  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,14.3,0,0,0,0,0.0,0,Oils and fats,Other,3.0,,3.0
17-039,"Oil, palm",Mean of 55 samples,OC,50-325  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,47.8,0,0,0,0,0.0,0,Oils and fats,Other,,,
17-040,"Oil, peanut (groundnut)",Mean of 71 samples,OC,50-326  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,3696,899,99.9,20,0,0,0,0,0.0,0,Nuts and seeds,Plant-based foods,,,
17-041,"Oil, rapeseed",Mean of 100 samples,OC,50-327  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,6.6,0,0,0,0,0.0,0,Nuts and seeds,Plant-based foods,,,
17-042,"Oil, safflower",Mean of 28 samples,OC,50-329 17-438 ,"Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,9.7,0,0,0,0,0.0,0,Oils and fats,Other,,,
17-043,"Oil, sesame",Mean of 22 samples and literature sources,OC,50-330  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acid Supplement, 1998",,3692,898,99.7,14.6,0,0,0,0,0.2,0.01,Oils and fats,Other,,,
17-044,"Oil, soya",Mean of 39 samples,OC,50-331  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,15.6,0,0,0,0,0.0,0,Oils and fats,Other,,,
17-045,"Oil, sunflower",Mean of 46 samples,OC,50-332  ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,12,0,0,0,0,0.0,0,Oils and fats,Other,,,
17-686,"Oil, vegetable, average",Based on rapeseed oil - most vegetable oils are made from rapeseed oil,OC,17-489 ,"Miscellaneous Foods Supplement, 1994; and FA Supplement, 1998. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",,3696,899,99.9,6.6,0,0,0,0,0.0,0,Vegetables,Plant-based foods,,,
17-047,"Oil, walnut",Mean of 13 samples,OC,17-437 ,"Reviewed 2013. Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,3696,899,99.9,9.1,0,0,0,0,0.0,0,Nuts and seeds,Plant-based foods,,,
17-048,"Oil, wheatgerm",Mean of 35 samples,OC,50-334 17-440 ,"Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,3696,899,99.9,18.6,0,0,0,0,0.0,0,Oils and fats,Other,,,
15-824,"Okra with tomatoes and onion, Greek, homemade",Recipe,DR,15-543 ,Updated 2014,,771,187,16.7,2.53,4.5,4.1,0.4,4.1,2.6,0.02,Uncategorized,Other,,,
15-825,"Okra with tomatoes and onion, West Indian, homemade",Recipe,DR,15-544 ,Updated 2014,,438,106,7.7,0.74,4.3,3.7,0.5,4.2,2.8,0.06,Uncategorized,Other,,,
13-652,"Okra, boiled in unsalted water","11 samples, imported. Tops and tails removed, boiled for 4-6 minutes",DG,13-301,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,94,23,0.2,0.07,1.8,1.4,0.5,3.1,1.8,0.01,Oils and fats,Other,,175.0,175.0
13-300,"Okra, raw",Analysis and literature sources. Ends trimmed,DG,50-789 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,159,38,1.0,0.3,2.8,2.4,0.5,4,2.5,0.02,Uncategorized,Other,5.0,,5.0
13-302,"Okra, stir-fried in corn oil","Analysis and literature sources. Ends trimmed, sliced and fried 5 minutes",DG,50-791 ,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,1162,282,26.1,3.3,4.3,3.5,0.7,6.3,4.3,0.03,Oils and fats,Other,,,
14-340,"Olives, green, in brine, drained, flesh and skin","Bottled, drained; flesh and skin, green",FA,14-173 ,"MW1, 1940; and industry data, 2013. Individual fatty acid data from a different sample with a different fatty acid profile is available from 14-854",,454,111,11.0,1.7,0,0,0,4,0.9,3.33,Uncategorized,Other,,,
14-359,"Olives, green, in brine, drained, flesh and skin, weighed with stones",Calculated from 14-340 using edible portion of 0.80,FA,14-174 ,"MW1, 1940; and industry data, 2013",,363,88,8.8,1.4,0,0,0,3.2,0.7,2.66,Uncategorized,Other,,,
12-947,"Omelette, cheese, homemade",Recipe. Ref. Wiles et al. (1980),CD,12-922 ,Updated 2014,,1107,267,22.7,9.55,0,0,0,0,15.7,0.84,Uncategorized,Other,,,
12-956,"Omelette, curried, homemade",Recipe,CDE,12-930 ,Updated 2014,,1510,366,36.0,20.52,1.4,1.4,0,1.6,8.4,0.96,Uncategorized,Other,,,
12-946,"Omelette, plain, homemade",Recipe,CD,12-921 ,Updated 2014,,793,191,16.4,3.22,0,0,0,0,10.9,0.34,Uncategorized,Other,,,
12-957,"Omelette, Spanish, homemade",Recipe,CD,12-932 ,Updated 2014,,478,115,7.6,1.19,5.3,3.2,2.2,1.3,5.6,0.14,Uncategorized,Other,,,
17-815,"Onion sauce, made with semi-skimmed milk, homemade",Recipe,WCD,17-526 ,Updated 2014,,369,88,4.7,1.88,8,4.5,3.5,1,3.0,0.16,Milk and milk products,Animal-based foods,,,
17-816,"Onion sauce, made with skimmed milk, homemade",Recipe,WCD,17-571 ,Updated 2014,,336,80,3.8,1.25,8,4.5,3.5,1,3.1,0.17,Milk and milk products,Animal-based foods,,,
17-817,"Onion sauce, made with whole milk, homemade",Recipe,WCD,17-525 ,Updated 2014,,383,92,5.5,2.68,7,4.6,2.4,0.7,3.3,0.15,Milk and milk products,Animal-based foods,,,
13-589,"Onions, baked","Calculated from 13-499 using weight loss of 20%, baked for 90 minutes at 180C",DG,13-305 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,214,51,0.2,0,9.6,7.6,0,2.7,1.3,0.01,Bakery products,Processed foods,,,
