Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Edible proportion,Specific gravity,Total solids,Nitrogen conversion factor ,Glycerol conversion factor
18-176,"Lamb, shoulder, half knuckle, braised, lean and fat",Calculated from 74% lean and 26% fat,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,,
18-170,"Lamb, shoulder, raw, lean and fat",Calculated from 76% lean and 24% fat,MAE,50-411 ,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,,
18-171,"Lamb, shoulder, raw, lean and fat, weighed with bone",Calculated from 18-170,MAE,50-411 ,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,0.80,,,,
18-179,"Lamb, shoulder, whole, roasted, lean",10 samples,MAE,50-413 ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,,
18-180,"Lamb, shoulder, whole, roasted, lean and fat",Calculated from 78% lean and 22% fat,MAE,50-412  ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,,0.93
18-181,"Lamb, shoulder, whole, roasted, lean and fat, weighed with bone",Calculated from 18-180,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,0.79,,,,
18-184,"Lamb, stewing, pressure cooked, lean",10 samples,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,,
18-185,"Lamb, stewing, pressure cooked, lean and fat",Calculated from 82% lean and 18% fat,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,,
18-182,"Lamb, stewing, raw, lean and fat",Calculated from 80% lean and 20% fat,MAE,50-407 ,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,,
18-183,"Lamb, stewing, raw, lean and fat, weighed with bone",Calculated from 18-182,MAE,,"LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,0.67,,,,
18-186,"Lamb, stewing, stewed, lean",10 samples,MAE,50-409 ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,,
18-187,"Lamb, stewing, stewed, lean and fat",Calculated from 85% lean and 15% fat,MAE,50-408  ,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of lamb, 1993-1994",,1.00,,,6.25,0.93
19-600,"Lamb's heart casserole, homemade",Recipe,MR,19-404 ,Updated 2014,,1.00,,,,
19-601,"Lancashire hotpot, homemade",Recipe,MR,19-345 ,Updated 2014,,1.00,,,,
16-425,"Langoustine, boiled","Small, medium and large from 3 fishing areas",JK,,"DH, Nutrient analysis of fish and fish products, 2013",,0.57,,,6.25,0.7
17-010,Lard,"6 samples, 3 brands",OF,50-318  ,"Reviewed 2013. MW1, 1940; Miscellaneous Foods Supplement, 1994; and Fatty Acids Supplement, 1998",,1.00,,,,0.96
19-481,"Lasagne, homemade","Beef, Recipe",MR,19-346 ,Updated 2013,,1.00,,,,
19-482,"Lasagne, homemade, with extra lean minced beef",Recipe,MR,,Updated 2013,,1.00,,,,
19-523,"Lasagne, retail, reheated","12 samples, 11 brands. 10-20% meat, chilled and frozen",MR,19-238 ,"LGC, Nutrient analysis of foods important for elderly people, 1994; and industry data, 2013. Vitamin K1 Bolton-Smith et al Br.J. Nutr.83, 2000",,1.00,,,,0.95
15-186,"Lasagne, spinach, wholemeal, homemade",Recipe from dietary survey records,DR,,As Vegetable Dishes Supplement 1992,,1.00,,,,
15-651,"Lasagne, vegetable, retail",8 assorted samples; cooked in conventional and microwave ovens according to packet directions,DR,15-189 ,"LGC, Fruit and vegetables, 1989-1990; and industry data, 2013",,1.00,,,,
15-188,"Lasagne, vegetable, wholemeal, homemade",Recipe from dietary survey records,DR,,As Vegetable Dishes Supplement 1992,,1.00,,,,
12-373,"Lassi, sweetened","5 samples, takeaway and retail",BN,12-892 ,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fats as Fatty Acid Supplement (1998) 12-892","Yakult (fermented skimmed milk drink) contains 1.2g protein, 0.1g fat, 18.0g carbohydrate and 77kcal/322kJ energy per 100ml",1.00,1.06,,6.38,0.945
15-190,Laverbread,6 samples; cooked pureed seaweed coated in oatmeal,DR,,"MW4, 1978",,1.00,,,,
15-813,"Leeks in cheese sauce, made with semi-skimmed milk, homemade","Recipe, proportions derived from recipe review",DR,15-533 ,Updated 2014,,1.00,,,,
15-814,"Leeks in cheese sauce, made with skimmed milk, homemade","Recipe, proportions derived from recipe review",DR,15-534 ,Updated 2014,,1.00,,,,
15-815,"Leeks in cheese sauce, made with whole milk, homemade","Recipe, proportions derived from recipe review",DR,15-532 ,Updated 2014,,1.00,,,,
13-625,"Leeks, boiled in unsalted water","11 samples, UK, trimmed and damaged outer leaves removed. Sliced and boiled for 5-8 minutes",DG,13-452,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-624,"Leeks, raw","11 samples, UK, trimmed and damaged outer leaves removed",DG,13-466,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,0.66,,,6.25,0.8
13-626,"Leeks, roasted in rapeseed oil","Calculated from raw. Water and fat analysed, 2017. 11 samples, mainly UK, trimmed and damaged outer leaves removed. Whole, sliced, halved and roasted for 25-40 minutes",DG,,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.956
19-602,"Lemon chicken, homemade",Recipe,MR,19-405 ,Updated 2014,,1.00,,,,
17-762,Lemon curd,"10 jars, 4 brands",SC,17-490 ,"MW4, 1978; and industry data, 2013. Fatty acids from Fatty Acid Supplement, 1998",,1.00,,,6.25,
17-806,"Lemon curd, homemade",Recipe,S,17-585 ,Updated 2014,,1.00,,,,
14-277,"Lemon juice, fresh",Analysis and literature sources,PE,50-1090 ,"Reviewed 2013. MW4, 1978",,1.00,,,,
14-278,"Lemon juice, fresh, weighed as whole fruit",Calculated from 14-277,FC,,"MW4, 1978. Values reviewed and revised for Fruit and Nuts Supplement, 1992",,0.35,,,,
14-337,Lemon peel,Literature sources,FA,14-127 ,"Gebhardt et al. (1982) Composition of foods: fruits and fruit juices, raw, processed and prepared, Agriculture Handbook No. 8-9; and USDA SR26, 2013",,1.00,,,6.25,
16-380,"Lemon sole, flesh only, grilled","7 samples, 6 products, frozen and chilled",JA,16-083 ,"DH, Nutrient analysis of fish and fish products, 2013",,0.77,,,6.25,0.7
16-379,"Lemon sole, flesh only, raw","7 samples, 6 products, frozen and chilled",JA,16-082 ,"DH, Nutrient analysis of fish and fish products, 2013",,0.72,,,6.25,0.7
16-478,"Lemon sole, flesh only, steamed","Calculated based on 23.2% weight loss (as haddock, steamed in 2013 fish survey)",JA,16-085 ,"DH, Nutrient analysis of fish and fish products, 2013",,1.00,,,6.25,0.7
16-496,"Lemon sole, flesh only, steamed, weighed with bones and skin",Calculated from steamed 16-478,JA,16-086 ,"DH, Nutrient analysis of fish and fish products, 2013",,0.77,,,6.25,
16-087,"Lemon sole, goujons, baked",Calculated from manufacturers' proportions,JA,,"Reviewed 2014. Fish and Fish Products Supplement, 1993",,1.00,,,,
17-179,Lemonade,"10 samples, 8 brands",PCA,50-1081 ,"Reviewed 2013. LFRA, Nutritional analysis of soft drinks, 1993",,1.00,,,6.25,
17-807,"Lemonade, homemade",Recipe,PCC,17-595 ,Updated 2014,,1.00,,,,
14-130,"Lemons, flesh only, raw, weighed with peel and pips",Calculated from 14-129,FA,,"Fruit and Nuts Supplement, 1992",,0.64,,,,
14-129,"Lemons, peeled, flesh only",Literature sources;,FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-128,"Lemons, whole, without pips",Includes peel but no pips. Analysis and literature sources,FA,50-910 ,"Reviewed 2013. Fruit and Nuts Supplement, 1992",,0.99,,,6.25,
15-200,"Lentil and nut roast, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1.00,,,,
15-201,"Lentil and nut roast, with egg, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1.00,,,,
15-817,"Lentil and potato pie, homemade",Recipe from dietary survey records,DR,15-538 ,Updated 2014,,1.00,,,,
15-818,"Lentil and rice roast, homemade",Recipe from dietary survey records,DR,15-539 ,Updated 2014,,1.00,,,,
15-819,"Lentil and rice roast, with egg, homemade",Recipe from dietary survey records,DR,15-540 ,Updated 2014,,1.00,,,,
15-820,"Lentil cutlets, fried in vegetable oil, homemade",Recipe. Gujerati dish.  Red lentil and potato cutlets.,DR,15-535 ,Updated 2014,,1.00,,,,
15-821,"Lentil pie, homemade",Recipe from review of recipe collection,DR,15-536 ,Updated 2014,,1.00,,,,
15-198,"Lentil roast, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1.00,,,,
15-199,"Lentil roast, with egg, homemade",Recipe from review of recipe collection,DR,,As Vegetable Dishes Supplement 1992,,1.00,,,,
13-661,"Lentils, green and brown, whole, dried, boiled in unsalted water","11 samples, 10 products, soaked and boiled for 15-50 minutes",DB,13-090,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-089,"Lentils, green and brown, whole, dried, raw","10 samples, 6 brands. Continental type",DB,50-710 ,"LGC, Fruit and Vegetables, 1989-1990",,1.00,,,,
13-658,"Lentils, red, split, dried, boiled in unsalted water","10 samples, 10 products, boiled for 15-40 minutes",DB,13-434,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-657,"Lentils, red, split, dried, raw","10 samples, 10 products, as purchased",DB,13-091,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
13-520,"Lettuce, average, raw","22 samples, autumn and winter, UK grown and imported, including shredded, Iceberg, Romaine and Little Gem",DG,13-453 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.82,,,6.25,
17-201,"Lime juice cordial, diluted",Calculated from 50g concentrate to 200ml water,PCC,,"Miscellaneous Foods Supplement, 1994",,1.00,,,,
17-200,"Lime juice cordial, undiluted",6 bottles of the same brand (Roses),PCC,50-1083 ,"Reviewed 2013. MW3, 1960",,1.00,,,6.25,
14-279,"Lime juice, fresh",Literature sources,FC,,"Gebhardt et al. (1982) Composition of foods: fruits and fruit juices, raw, processed and prepared, Agriculture Handbook No. 8-9",,1.00,,,,
14-131,"Limes, flesh only",Literature sources;,FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-132,"Limes, flesh only, weighed with peel and pips",Calculated from 14-131,FA,,"Fruit and Nuts Supplement, 1992",,0.74,,,,
16-091,"Ling, raw",Literature sources,JA,,"Fish and Fish Products Supplement, 1993",,N,,,,
17-768,"Liqueurs, cream","17% ABV, 2 samples of Baileys Original Irish Cream",QI,17-242 ,"LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984; and industry data, 2013. Fatty acids calculated based on proportions in Fatty Acid Supplement, 1998 (17-449)",,1.00,,,,0.95
17-244,"Liqueurs, high strength","30-40% ABV. 5 samples including Pernod, Drambuie, Cointreau, Grand Marnier and Southern Comfort",QI,,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,1.00,,,,
17-245,"Liqueurs, low-medium strength","20-28% ABV. 10 samples including cherry brandy, Tia Maria and Creme de Menthe",QI,,"Reviewed 2013. LGC, Alcoholic beverages, soft drinks and tea and coffee survey, 1983-1984",,1.00,,,,
17-777,Liquorice allsorts,"7 samples, 4 brands",SEC,17-112 ,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992; fatty acids from 17-446",,1.00,,,6.25,0.96
13-833,Liquorice powder,Literature sources,H,,Chughtai and Khan (1960) Nutritive value of food-stuffs and planning of satisfactory diets in Pakistan,,1.00,,,,
19-603,"Liver and bacon, fried, homemade",Recipe,MR,19-406 ,Updated 2014,,1.00,,,,
19-604,"Liver and onions, stewed, homemade",Recipe,MR,19-407 ,Updated 2014,,1.00,,,,
19-106,Liver sausage,"10 samples, 4 brands",MI,50-514 ,"Reviewed 2013. Meat Products and Dishes Supplement, 1996; and LGC, Survey of dietary oils and fats, 1981-1982",,1.00,,,,
18-410,"Liver, calf, fried in corn oil",10 samples,MG,50-484 ,"Reviewed 2013. LGC, Carcase meat and offal survey, 1982-1983",,1.00,,,,
18-409,"Liver, calf, raw",10 samples,MG,50-483 ,"LGC, Carcase meat and offal survey, 1982-1983",,1.00,,,,
18-412,"Liver, chicken, fried in corn oil",10 samples,MG,50-486 ,"Reviewed 2013. LGC, Carcase meat and offal survey, 1982-1983",,1.00,,,,
18-411,"Liver, chicken, raw",10 samples,MG,50-485 18-441 ,"Carcase meat and offal survey, 1982-1983; fatty acids as Fatty Acid Supplement, 1998 (18-441)",,1.00,,,,0.74
18-494,"Liver, lamb, fried in corn oil",10 samples,MG,18-414 50-488 ,"Reviewed 2013. LGC, Carcase meat and offal survey, 1982-1983; iron, folate and vitamin D data from LGC Food Surveillance information Sheets",,1.00,,,6.25,0.741
18-413,"Liver, lamb, raw",10 samples,MG,50-487 18-442 ,"LGC, Carcase meat and offal survey, 1982-1983; fatty acid fractions from 18-442",,1.00,,,,0.74
18-415,"Liver, ox, raw",33 samples,MG,50-489 ,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995.",,1.00,,,,
18-416,"Liver, ox, stewed","18 samples, coated in seasoned flour",MG,50-490 ,"Reviewed 2013. MW4, 1978",,1.00,,,,
18-417,"Liver, pig, raw",10 samples,MG,50-491 18-443 ,"LGC, Carcase meat and offal survey, 1982-1983; fat and fatty acids from Fatty Acid Supplement, 1998",,1.00,,,,0.74
18-418,"Liver, pig, stewed","18 samples, coated in seasoned flour",MG,50-492 ,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995.",,1.00,,,,
16-332,"Lobster, boiled",Boiled in fresh water,JK,16-236 50-637 ,"Fish and Fish Products Supplement, 1993; selenium calculated from raw (Analysis of foods for Selenium 1994)",,1.00,,,6.25,0.9
16-343,"Lobster, boiled, weighed with shell",Calculated from boiled 16-332,JK,16-237 50-638 ,"Fish and Fish Products Supplement, 1993; selenium calculated from 16-332",,0.36,,,,
14-133,"Loganberries, raw",Whole fruit,FA,,"MW4, 1978. Values revised for Fruit and Nuts Supplement, 1992",,1.00,,,,
14-134,"Loganberries, stewed with sugar","Calculated from 700g fruit, 210g water, 84g sugar",FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-135,"Loganberries, stewed without sugar","Calculated from 700g fruit, 210g water",FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
12-390,"Lollies, containing ice-cream",3 samples,BP,,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",,1.00,,,6.25,0.956
12-389,"Lollies, with real fruit juice","10 samples, 6 brands, assorted flavours",BP,,"Reviewed 2013. ADAS Laboratories, Nutrient analysis of ice creams and desserts, 1999",,1.00,0.87,,6.25,0.956
14-138,"Longans, canned in syrup, drained",Literature sources; fruit only,FA,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",,0.45,,,,
14-139,"Longans, canned in syrup, whole contents",Literature sources; fruit and syrup,FA,,"Wu Leung et al. (1972) Food composition table for use in East Asia, Food and Agriculture Organization and US Department of Health",,1.00,,,,
14-137,"Longans, flesh only, dried",Literature sources,FA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-140,"Loquats, flesh only, raw",Literature sources;,FA,,"Fruit and Nuts Supplement, 1992",,0.63,,,,
13-271,"Lotus tubers, raw",Literature sources,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,0.85,,,,
17-761,Lucozade,"Including lemon, orange and tropical flavours",PCA,17-543 ,"MSF supplement, 1994; and industry data, 2013",,1.00,,,6.25,
19-136,"Luncheon meat, Chinese, steamed","10 samples from different shops, steamed for 15 minutes",MI,,"Meat Products and Dishes Supplement, 1996",,1.00,,,,
14-143,"Lychees, flesh only, raw, weighed with skin and stone",Calculated from 14-143,FA,50-912 ,"Fruit and Nuts Supplement, 1992",,0.62,,,,
14-142,"Lychees, raw, flesh only",Analysis and literature sources;,FA,50-911 ,"Reviewed 2013. Fruit and Nuts Supplement, 1992",,1.00,,,6.25,
14-891,"Macadamia nuts, salted",8 samples,G,14-823 ,"LGC, Savoury snacks and nuts, 1989-1991",,1.00,,,5.3,
11-954,"Macaroni cheese, homemade",Recipe,AD,11-562 ,As MW6. Recalculated in 2013,,1.00,,,,
12-951,"Macaroon, homemade",Recipe,CDH,12-935 ,Updated 2014,,1.00,,,,
13-834,"Mace, ground",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1.00,,,,
16-394,"Mackerel, flesh only, grilled","7 samples, 7 products, frozen and chilled",JC,16-325 ,"DH, Nutrient analysis of fish and fish products, 2013",,1,,,6.25,0.9
16-479,"Mackerel, flesh only, grilled, fillets weighed with bones and skin",Calculated from 16-394 using 0.98 edible conversion factor,JC,,"DH, Nutrient analysis of fish and fish products, 2013",,1.00,,,6.25,0.9
16-393,"Mackerel, flesh only, raw","7 samples, 7 products, frozen and chilled",JC,16-324 ,"DH, Nutrient analysis of fish and fish products, 2013",,0.62,,,6.25,0.9
16-414,"Mackerel, flesh only, smoked","11 samples, 11 products, flesh only",JC,16-196 ,"DH, Nutrient analysis of fish and fish products, 2013",,0.91,,,6.25,0.9
17-651,Maltesers and similar products,"9 samples, 3 products",SEA,,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1.00,,,6.38,0.945
14-145,"Mammie apple, flesh only",Literature sources;,FA,,"Fruit and Nuts Supplement, 1992",,0.54,,,,
14-146,"Mandarin oranges, canned in juice, whole contents","10 samples, 4 brands. Drained proportion = 0.56",FA,50-914 ,"Reviewed 2013. LGC, Nutritional composition of fruit products, 1985-1986; and LGC, Fruit and vegetables, 1989-1990",,1.00,,,6.25,
13-273,"Mango, unripe, green flesh, raw",Literature sources.,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,0.61,,,,
14-378,"Mangoes, ripe, flesh only, raw","11 samples, imported, whole and prepacked chunks",FA,14-294,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,1,,,6.25,0.8
14-379,"Mangoes, ripe, flesh only, raw, weighed with skin and stone",Calculated from 14-378,FA,14-306,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",,0.63,,,6.25,0.8
14-151,"Mangosteen, flesh only",Literature sources;,FA,,"Fruit and Nuts Supplement, 1992",,0.24,,,,
13-835,"Marjoram, dried",Literature sources,H,,"Marsh et al. (1977) Composition of foods: spices and herbs, raw, processed and prepared, Agriculture Handbook No. 8-2",,1.00,,,,
17-078,Marmalade,4 brands,SC,50-1008 ,"Reviewed 2013. LGC, Analysis of assorted foods, 1994",,1.00,,,6.25,
13-276,"Marrow, boiled in unsalted water",Based on boiled in salted water,DG,50-781 ,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000.",,1.00,,,,
13-277,"Marrow, parwal, raw",5 samples. Ends trimmed,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,0.95,,,,
13-274,"Marrow, raw","Flesh only, seeds removed",DG,50-780 ,"IFR, The nutritional composition of retail vegetables in the UK, 1984-1987",,0.54,,,,
17-668,Mars bar and own brand equivalents,"16 samples, 3 brands, including standard, snack and fun size",SEA,17-547 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1.00,,,6.38,
17-114,Marshmallows,7 samples of different brands,SEC,,"Reviewed 2013. LGC, Nutritional analysis of foods for pre-school children, 1992",,1.00,,,6.25,
14-893,"Marzipan, homemade",Recipe,GA,14-881 ,Updated 2014,,1.00,,,,
14-875,"Marzipan, white and yellow, retail",10 samples,GA,14-825 14-861 50-984  ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990; fatty acids from Fatty Acid Supplement, 1998",,1.00,,,5.18,0.956
13-588,"Matoki, boiled in unsalted water","Green banana from East Africa. LGC. As raw; chopped and boiled 12 minutes, based on boiled in salted water",DG,,"Vegetables, Herbs and Spices Supplement, 1991",,1.00,,,6.25,0.8
13-279,"Matoki, raw",5 samples. Flesh only,DG,,"Vegetables, Herbs and Spices Supplement, 1991",,0.53,,,,
17-809,"Mayonnaise, homemade",Recipe,WC,17-570 ,Updated 2014,,1.00,,,,
17-679,"Mayonnaise, reduced fat","12 samples, 8 brands",WCG,17-511 ,"RHM Technology, Nutrient analysis of selected foods, 1995; and Fatty Acid Supplement, 1998",,1.00,,,6.25,0.956
17-654,"Mayonnaise, standard, retail","11 samples,7 products",WCG,17-510 ,"DH, Nutrient analysis of a range of processed foods with particular reference to trans fatty acids, 2013",,1.00,,,6.25,0.956
15-822,"Mchicha, homemade",Recipe. West Indian dish. Steamed spinach with onion and tomato.,DR,15-541 ,Updated 2014,,1.00,,,,
19-605,"Meat loaf, homemade",Recipe,MR,19-368 ,Updated 2014,,1.00,,,,
19-326,"Meat samosas, takeaway",10 samples from Indian restaurants,MR,19-059 19-289 11-353 50-174 ,"Reviewed 2013. Aspland and James Ltd, Nutrient analysis of ethnic and takeaway foods, 1997. Fatty acids from Fatty Acids Supplement 19-289",,1.00,,,6.25,0.956
19-506,Meat spread,10 samples of a mixture of beef and ham based spreads. 70-90% meat,MI,19-139 ,"LGC, Analytical survey of meat products, 1990-1991; and industry data, 2013",,1.00,,,,
19-613,"Meatballs, pork and beef, in tomato sauce, homemade",Recipe,MR,19-415 ,Updated 2014,,1.00,,,,
14-152,"Medlars, flesh only",Flesh only,FA,,"MW4, 1978",,0.81,,,,
14-826,Melon seeds,Literature sources,GA,,"Fruit and Nuts Supplement, 1992",,1.00,,,,
14-339,"Melon, Canteloupe-type, flesh only","10 samples, Canteloupe, Charantais and Rock;",FA,14-295 ,"Reviewed 2013. LGC, Nutritional composition of fresh fruit, 1985-1986; carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997",,1.00,,,6.25,0.8
14-352,"Melon, Canteloupe-type, flesh only, weighed whole",Calculated from 14-339 using edible portion of 0.59,FA,14-307 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997",,0.59,,,6.25,0.8
14-353,"Melon, Canteloupe-type, flesh only, weighed with skin",Calculated from 14-339 using edible portion of 0.66; no pips,FA,14-308 ,"LGC, Nutritional composition of fresh fruit, 1985-1986; carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997",,0.66,,,6.25,0.8
14-354,"Melon, flesh only, average","Average of Canteloupe-type, Galia and Honeydew varieties",FA,14-153 ,Recalculated 2014,,1.00,,,6.25,0.8
14-355,"Melon, flesh only, average, weighed whole",Calculated from 14-354 using edible conversion factor of 0.62,FA,14-154 ,Recalculated 2014,,0.62,,,6.25,0.8
14-356,"Melon, flesh only, average, weighed with skin",Calculated from 14-354 using edible conversion factor of 0.66; no pips,FA,14-155 ,Recalculated 2014,,1.00,,,6.25,0.8
14-159,"Melon, Galia, flesh only",11 samples;,FA,50-921 ,"Reviewed 2013. LGC, Fruit and vegetables, 1989-1990",,1.00,,,,
14-160,"Melon, Galia, flesh only, weighed whole",Calculated from 14-159,FA,,"Fruit and Nuts Supplement, 1992",,0.64,,,,
14-161,"Melon, Galia, flesh only, weighed with skin",Calculated from 14-159; no pips,FA,50-922 ,"Fruit and Nuts Supplement, 1992",,0.68,,,,
14-357,"Melon, Honeydew, flesh only, weighed whole",Calculated from 14-328 using edible conversion factor of 0.58,FA,14-163 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.58,,,6.25,0.8
14-358,"Melon, Honeydew, flesh only, weighed with skin",Calculated from 14-328 using edible conversion factor of 0.62;  no pips,FA,14-164 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.62,,,6.25,0.8
14-296,"Melon, watermelon, flesh only",Literature sources;,FA,14-165 50-925 ,"Reviewed 2013. Fruit and Nut Supplement (1992), 14-165, with carotenoid data from LGC 'Determination of cis carotenoids in foodstuffs' 1997. Vitamin K1 Bolton-Smith et al, Br.J. Nutr 83, 2000",,1.00,,,6.25,0.8
14-309,"Melon, watermelon, flesh only, weighed whole",Calculated from 14-296,FA,14-166 ,"As Fruit and Nuts Supplement (1992) 14-166 with carotenoids from LGC 'Determination of cis carotenoids in foodstuffs' 1997, Food Surveillance Information sheet No.104. Vitamin K1 calc from Bolton-Smith et al, Br.J. Nutr 83, 2000",,0.57,,,,
14-328,"Melon, yellow flesh, flesh only","22 samples, Honeydew, autumn and winter, whole and pre-prepared slices",FA,14-162 ,"DH, Nutrient analysis of fruit and vegetables, 2013",,0.58,,,6.25,
12-517,"Meringue, homemade",Without cream. Recipe,BR,12-414 ,Updated 2013,,1.00,,,,
12-585,"Meringue, with cream, homemade",Recipe. Ref. Wiles et al. (1980),BR,12-415 ,Updated 2014,,1.00,,,,
15-628,"Methi aloo, homemade","6 samples, fenugreek and potatoes",DR,,"University of Leeds, Nutritional analysis of commonly consumed South Asian foods in the UK, 2007",,1.00,,,6.25,
11-1091,"Milk bread, homemade",Recipe,AF,11-629 ,Updated 2014,,1.00,,,,
12-513,"Milk drink, fermented, with probiotics","Including Yakult, Danone, Muller and own brand yogurt drinks",BH,,"Industry data, 2013",,1.00,,,6.38,0.945
17-733,"Milk shake, powder","6 samples (Nesquik), 3 flavours",PAA,12-104 ,"Milk Products and Eggs Supplement, 1989; and  2013 industry data updates for inorganics that are fortified in some products",,1.00,,,6.25,
12-589,"Milk shake, powder, made up with semi-skimmed milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-445 ,Updated 2014,,1.00,,,,
12-590,"Milk shake, powder, made up with skimmed milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-446 ,Updated 2014,,1.00,,,,
12-591,"Milk shake, powder, made up with whole milk",Recipe. Calculated from 15g powder to 200ml milk,BH,12-444 ,Updated 2014,,1.00,,,,
12-512,"Milk, 1% fat, pasteurised",Average of skimmed (12-307) and semi-skimmed (12-313) milk,BA,,"ADAS Laboratories, Nutrient analysis of pasteurised liquid milk, 1995-1996; and industry data, 2013",,1.00,,,6.38,0.945
12-321,"Milk, Channel Islands, whole, pasteurised","Breakfast milk, average of 6 samples of summer and winter milk",BAB,12-885 12-078 50-194 ,"Reviewed 2013. LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fatty acids as Fatty Acids Supplement 12-885; Vitamin K1 Bolton-Smith et al. Br J Nutr 83 2000",,1.00,,,6.38,0.945
12-322,"Milk, Channel islands, whole, summer",3 samples,BAB,12-019 50-195 ,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fatty acids as Fatty Acids Supplement 12-885",,1.00,,,6.38,0.945
12-323,"Milk, Channel islands, whole, winter",3 samples,BAB,12-019 50-195 ,"LGC, Nutrient analysis of ‘other’ milk and cream, 1998. Fatty acids as Fatty Acids Supplement 12-885",,1.00,,,6.38,0.945
12-520,"Milk, condensed, whole, sweetened","10 cans, 2 brands",BAR,12-029 ,"Milk Products and Eggs Supplement, 1989; Vitamin K1 Bolton-Smith et al, Br J Nutr, 83, 2000",,1.00,,,6.38,0.945
12-324,"Milk, evaporated, light","7 samples, 4 brands",BAR,12-890 ,"Reviewed 2013. LGC, Nutrient analysis of other milk and cream, 1998; fatty acids from Fatty Acids Supplement (1998) 12-890",,1.00,,,6.38,0.945
